Generation: 0

| chromosome                                                                                                                                                                                                                                              | train   | val   |     fitness |   id | parents      |
|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|---------|-------|-------------|------|--------------|
| [0.0, -7.619127048053891e-13, -2.5120334204275116e-13, 3.3548402866077487e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0003920104561844e-15, 2.96252824836485e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]    |         |       | 8.64619e+10 |    0 | (None, None) |
| [0.0, -7.541574644195168e-13, -2.5185351391534287e-13, 3.3408968954084364e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0003920104561844e-15, 2.96252824836485e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]    |         |       | 8.64619e+10 |    1 | (None, None) |
| [0.0, -7.619127048053891e-13, -2.5185351391534287e-13, 3.3985888231306985e-11, 1.0821316019511363e-10, -1.4572017038094365e-15, 1.0003920104561844e-15, 2.96252824836485e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]    |         |       | 8.65793e+10 |    2 | (None, None) |
| [0.0, -7.619127048053891e-13, -2.6168058622556336e-13, 3.3985888231306985e-11, 1.0821316019511363e-10, -1.3969463929660273e-15, 1.0003920104561844e-15, 2.96252824836485e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]    |         |       | 8.68584e+10 |    3 | (None, None) |
| [0.0, -7.602982060789769e-13, -2.5185351391534287e-13, 3.3408968954084364e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0003920104561844e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]  |         |       | 8.68639e+10 |    4 | (None, None) |
| [0.0, -7.678628851593763e-13, -2.5185351391534287e-13, 3.3408968954084364e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0038681854901483e-15, 2.9582966279828872e-05, -2.0335759567981476e-06, -1.95108132472524e-08, 9.827671833722739e-10]  |         |       | 1.13109e+11 |    5 | (None, None) |
| [0.0, -7.619127048053891e-13, -2.5185351391534287e-13, 3.3408968954084364e-11, 1.0821316019511363e-10, -1.4812101349127323e-15, 1.0003920104561844e-15, 2.9582966279828872e-05, -2.0335759567981476e-06, -1.95108132472524e-08, 9.827671833722739e-10]  |         |       | 1.19122e+11 |    6 | (None, None) |
| [0.0, -7.602982060789769e-13, -2.5185351391534287e-13, 3.301702347383123e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0003920104561844e-15, 2.96252824836485e-05, -2.0921179257071713e-06, -1.95108132472524e-08, 9.827671833722739e-10]     |         |       | 7.24373e+11 |    7 | (None, None) |
| [0.0, -7.619127048053891e-13, -2.6168058622556336e-13, 3.3408968954084364e-11, 1.0821316019511363e-10, -1.4812101349127323e-15, 1.0003920104561844e-15, 2.96252824836485e-05, -2.1008356757906695e-06, -1.95108132472524e-08, 9.827671833722739e-10]    |         |       | 9.17547e+11 |    8 | (None, None) |
| [0.0, -7.619127048053891e-13, -2.5185351391534287e-13, 3.3408968954084364e-11, 1.0821316019511363e-10, -1.4812101349127323e-15, 1.0003920104561844e-15, 2.8912524120593968e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 1.0367592809414293e-09] |         |       | 1.54704e+12 |    9 | (None, None) |

Generation: 1

| chromosome                                                                                                                                                                                                                                             |   id | parents      |       train |         val |     fitness |
|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------|--------------|-------------|-------------|-------------|
| [0.0, -7.602982060789769e-13, -2.5185351391534287e-13, 3.3408968954084364e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0003920104561844e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |   12 | (4, 4)       | 5.13401e+10 | 1.22388e+11 | 9.39686e+10 |
| [0.0, -7.678628851593763e-13, -2.4313170662065044e-13, 3.3548402866077487e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0003920104561844e-15, 2.9582966279828872e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |   10 | (5, 0)       | 4.98889e+10 | 1.23452e+11 | 9.40267e+10 |
| [0.0, -7.619127048053891e-13, -2.6168058622556336e-13, 3.3985888231306985e-11, 1.0821316019511363e-10, -1.4572017038094365e-15, 1.0003920104561844e-15, 2.96252824836485e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |   16 | (2, 3)       | 4.88276e+10 | 1.24331e+11 | 9.41296e+10 |
| [0.0, -7.541574644195168e-13, -2.5185351391534287e-13, 3.3408968954084364e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0003920104561844e-15, 2.96252824836485e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |    1 | (None, None) | 4.73285e+10 | 1.25595e+11 | 9.42886e+10 |
| [0.0, -7.619127048053891e-13, -2.5120334204275116e-13, 3.3548402866077487e-11, 1.0821316019511363e-10, -1.5137058790672827e-15, 1.0003920104561844e-15, 2.96252824836485e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |    0 | (None, None) | 6.0766e+10  | 1.16749e+11 | 9.43559e+10 |
| [0.0, -7.678628851593763e-13, -2.5185351391534287e-13, 3.3408968954084364e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.010095607559168e-15, 3.030553885541996e-05, -2.0335759567981476e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |   15 | (5, 5)       | 5.09875e+10 | 1.23996e+11 | 9.47928e+10 |
| [0.0, -7.619127048053891e-13, -2.6168058622556336e-13, 3.3548402866077487e-11, 1.0821316019511363e-10, -1.322602128793921e-15, 1.0003920104561844e-15, 2.96252824836485e-05, -2.0202088064864084e-06, -1.9864405845838977e-08, 9.827671833722739e-10]  |   14 | (3, 0)       | 8.33614e+10 | 1.16314e+11 | 1.03133e+11 |
| [0.0, -7.578577700817939e-13, -2.488778267284037e-13, 3.3408968954084364e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0003920104561844e-15, 2.9559873746683146e-05, -2.0007044586058382e-06, -1.95108132472524e-08, 9.827671833722739e-10]  |   11 | (4, 4)       | 1.71121e+10 | 2.30576e+11 | 1.4519e+11  |
| [0.0, -7.678628851593763e-13, -2.6177316446140665e-13, 3.3408968954084364e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0003920104561844e-15, 2.9582966279828872e-05, -2.077975973681189e-06, -1.95108132472524e-08, 9.827671833722739e-10]  |   17 | (5, 2)       | 5.15529e+11 | 5.08769e+11 | 5.11473e+11 |
| [0.0, -7.619127048053891e-13, -2.5120334204275116e-13, 3.3985888231306985e-11, 1.0821316019511363e-10, -1.538237753749031e-15, 1.0003920104561844e-15, 2.96252824836485e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 1.0747267473738472e-09]   |   13 | (2, 0)       | 3.03437e+12 | 7.80879e+12 | 5.89902e+12 |

Generation: 2

| chromosome                                                                                                                                                                                                                                             |   id | parents   |       train |         val |     fitness |
|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------|-----------|-------------|-------------|-------------|
| [0.0, -7.602982060789769e-13, -2.5185351391534287e-13, 3.3408968954084364e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0003920104561844e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |   12 | (4, 4)    | 5.13401e+10 | 1.22388e+11 | 9.39686e+10 |
| [0.0, -7.602982060789769e-13, -2.5185351391534287e-13, 3.3408968954084364e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0003920104561844e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |   23 | (12, 12)  | 5.13401e+10 | 1.22388e+11 | 9.39686e+10 |
| [0.0, -7.619127048053891e-13, -2.5120334204275116e-13, 3.3548402866077487e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.010095607559168e-15, 2.96252824836485e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.825585823029691e-10]    |   19 | (0, 15)   | 4.88856e+10 | 1.24053e+11 | 9.3986e+10  |
| [0.0, -7.678628851593763e-13, -2.4313170662065044e-13, 3.3548402866077487e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0003920104561844e-15, 2.9582966279828872e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |   10 | (5, 0)    | 4.98889e+10 | 1.23452e+11 | 9.40267e+10 |
| [0.0, -7.619127048053891e-13, -2.6168058622556336e-13, 3.3985888231306985e-11, 1.0821316019511363e-10, -1.4572017038094365e-15, 1.0003920104561844e-15, 2.96252824836485e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |   24 | (16, 16)  | 4.88276e+10 | 1.24331e+11 | 9.41296e+10 |
| [0.0, -7.678628851593763e-13, -2.5120334204275116e-13, 3.3548402866077487e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0003920104561844e-15, 2.96252824836485e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |   25 | (10, 0)   | 4.73285e+10 | 1.25595e+11 | 9.42886e+10 |
| [0.0, -7.541574644195168e-13, -2.5185351391534287e-13, 3.3408968954084364e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0003920104561844e-15, 2.96252824836485e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |   18 | (1, 1)    | 4.73285e+10 | 1.25595e+11 | 9.42886e+10 |
| [0.0, -7.619127048053891e-13, -2.5185351391534287e-13, 3.3408968954084364e-11, 1.0821316019511363e-10, -1.4572017038094365e-15, 1.0003920104561844e-15, 2.96252824836485e-05, -2.0335759567981476e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |   22 | (16, 15)  | 1.06754e+11 | 1.16126e+11 | 1.12377e+11 |
| [0.0, -7.619127048053891e-13, -2.6168058622556336e-13, 3.3985888231306985e-11, 1.1408481187053955e-10, -1.4572017038094365e-15, 1.0003920104561844e-15, 2.96252824836485e-05, -1.971792370729341e-06, -1.95108132472524e-08, 9.827671833722739e-10]    |   21 | (16, 16)  | 8.60384e+10 | 6.3297e+11  | 4.14197e+11 |
| [0.0, -7.602982060789769e-13, -2.5043485575323215e-13, 3.3408968954084364e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0003920104561844e-15, 2.96252824836485e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 8.859978688462135e-10]   |   20 | (12, 1)   | 5.01036e+12 | 7.43304e+12 | 6.46397e+12 |

Generation: 3

| chromosome                                                                                                                                                                                                                                              |   id | parents   |       train |         val |     fitness |
|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------|-----------|-------------|-------------|-------------|
| [0.0, -7.619127048053891e-13, -2.616132274271026e-13, 3.3985888231306985e-11, 1.1191185969671703e-10, -1.4572017038094365e-15, 1.0003920104561844e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |   26 | (12, 24)  | 5.29417e+10 | 1.21267e+11 | 9.39369e+10 |
| [0.0, -7.602982060789769e-13, -2.541808963712291e-13, 3.3408968954084364e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0003920104561844e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |   23 | (12, 12)  | 5.13401e+10 | 1.22388e+11 | 9.39686e+10 |
| [0.0, -7.619127048053891e-13, -2.5120334204275116e-13, 3.3548402866077487e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.010095607559168e-15, 2.96252824836485e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.825585823029691e-10]     |   33 | (19, 19)  | 4.88856e+10 | 1.24053e+11 | 9.3986e+10  |
| [0.0, -7.578100208060228e-13, -2.5185351391534287e-13, 3.3985888231306985e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0003920104561844e-15, 2.96252824836485e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]    |   28 | (12, 24)  | 4.73285e+10 | 1.25595e+11 | 9.42886e+10 |
| [0.0, -7.678628851593763e-13, -2.5120334204275116e-13, 3.3548402866077487e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0003920104561844e-15, 2.96252824836485e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]    |   30 | (19, 25)  | 4.73285e+10 | 1.25595e+11 | 9.42886e+10 |
| [0.0, -7.619127048053891e-13, -2.6168058622556336e-13, 3.3548402866077487e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0021252810172579e-15, 2.96252824836485e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]    |   29 | (24, 25)  | 4.73285e+10 | 1.25595e+11 | 9.42886e+10 |
