Generation: 0

| chromosome                                                                                                                                                                                                                                           | train   | val   |     fitness |   id | parents      |
|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|---------|-------|-------------|------|--------------|
| [0.0, -8.221715697498768e-13, -2.4635491478350217e-13, 3.128592720559577e-11, 8.574315909055155e-12, -1.5197500964632639e-15, 1.0094793796676607e-15, 2.9825744020599857e-05, -2.0702132743603708e-06, -1.849691592333827e-08, 9.82789572938636e-10] |         |       | 1.03536e+11 |    0 | (None, None) |
| [0.0, -7.985043854744712e-13, -2.4635491478350217e-13, 3.091776046056934e-11, 8.574315909055155e-12, -1.5197500964632639e-15, 1.0094793796676607e-15, 2.9825744020599857e-05, -2.0702132743603708e-06, -1.849691592333827e-08, 9.82789572938636e-10] |         |       | 1.03536e+11 |    1 | (None, None) |
| [0.0, -8.221715697498768e-13, -2.415350743370014e-13, 3.0751918214616e-11, 8.574315909055155e-12, -1.5197500964632639e-15, 1.0094793796676607e-15, 2.9825744020599857e-05, -2.0702132743603708e-06, -1.849691592333827e-08, 9.82789572938636e-10]    |         |       | 1.03536e+11 |    2 | (None, None) |
| [0.0, -8.181736197386497e-13, -2.429038556248874e-13, 3.0751918214616e-11, 8.574315909055155e-12, -1.5197500964632639e-15, 1.0094793796676607e-15, 2.9825744020599857e-05, -2.0702132743603708e-06, -1.849691592333827e-08, 9.82789572938636e-10]    |         |       | 1.03536e+11 |    3 | (None, None) |
| [0.0, -8.257811909622094e-13, -2.415350743370014e-13, 3.0751918214616e-11, 8.574315909055155e-12, -1.5197500964632639e-15, 1.0094793796676607e-15, 2.9825744020599857e-05, -2.0702132743603708e-06, -1.849691592333827e-08, 9.82789572938636e-10]    |         |       | 1.03536e+11 |    4 | (None, None) |
| [0.0, -8.003406981225704e-13, -2.4635491478350217e-13, 3.0751918214616e-11, 8.574315909055155e-12, -1.5197500964632639e-15, 1.0138405937821362e-15, 2.9825744020599857e-05, -2.0702132743603708e-06, -1.849691592333827e-08, 9.82789572938636e-10]   |         |       | 1.03536e+11 |    5 | (None, None) |
| [0.0, -8.181736197386497e-13, -2.4635491478350217e-13, 3.091776046056934e-11, 7.490553414424764e-12, -1.5197500964632639e-15, 1.0036709163755668e-15, 2.9825744020599857e-05, -2.0702132743603708e-06, -1.849691592333827e-08, 9.82789572938636e-10] |         |       | 1.03536e+11 |    6 | (None, None) |
| [0.0, -7.985043854744712e-13, -2.4635491478350217e-13, 3.091776046056934e-11, 7.490553414424764e-12, -1.5197500964632639e-15, 1.0036709163755668e-15, 2.9825744020599857e-05, -2.0702132743603708e-06, -1.849691592333827e-08, 9.82789572938636e-10] |         |       | 1.03536e+11 |    7 | (None, None) |
| [0.0, -8.221715697498768e-13, -2.415350743370014e-13, 3.0751918214616e-11, 8.574315909055155e-12, -1.5972470164859499e-15, 1.0094793796676607e-15, 2.9825744020599857e-05, -2.059739461054355e-06, -1.849691592333827e-08, 9.82789572938636e-10]     |         |       | 1.07309e+11 |    8 | (None, None) |
| [0.0, -7.985043854744712e-13, -2.4635491478350217e-13, 3.091776046056934e-11, 7.025359138794541e-13, -1.5197500964632639e-15, 1.0094793796676607e-15, 3.0198832154233214e-05, -2.018753694011913e-06, -1.849691592333827e-08, 9.82789572938636e-10]  |         |       | 5.08498e+11 |    9 | (None, None) |

Generation: 1

| chromosome                                                                                                                                                                                                                                           |   id | parents      |       train |         val |     fitness |
|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------|--------------|-------------|-------------|-------------|
| [0.0, -8.221715697498768e-13, -2.4635491478350217e-13, 3.128592720559577e-11, 8.574315909055155e-12, -1.5197500964632639e-15, 1.0094793796676607e-15, 2.9825744020599857e-05, -2.0702132743603708e-06, -1.849691592333827e-08, 9.82789572938636e-10] |   11 | (0, 0)       | 7.42054e+10 | 1.32866e+11 | 1.03536e+11 |
| [0.0, -7.985043854744712e-13, -2.4635491478350217e-13, 3.091776046056934e-11, 8.574315909055155e-12, -1.5197500964632639e-15, 1.0094793796676607e-15, 2.9825744020599857e-05, -2.0702132743603708e-06, -1.849691592333827e-08, 9.82789572938636e-10] |    1 | (None, None) | 7.42054e+10 | 1.32866e+11 | 1.03536e+11 |
| [0.0, -8.221715697498768e-13, -2.415350743370014e-13, 3.0751918214616e-11, 8.574315909055155e-12, -1.5197500964632639e-15, 1.0094793796676607e-15, 2.9825744020599857e-05, -2.0702132743603708e-06, -1.849691592333827e-08, 9.82789572938636e-10]    |   13 | (2, 4)       | 7.42054e+10 | 1.32866e+11 | 1.03536e+11 |
| [0.0, -8.181736197386497e-13, -2.429038556248874e-13, 3.0751918214616e-11, 8.574315909055155e-12, -1.5197500964632639e-15, 1.010992100628454e-15, 2.9825744020599857e-05, -2.0702132743603708e-06, -1.849691592333827e-08, 9.82789572938636e-10]     |   15 | (4, 3)       | 7.42054e+10 | 1.32866e+11 | 1.03536e+11 |
| [0.0, -8.257811909622094e-13, -2.429038556248874e-13, 3.0751918214616e-11, 8.574315909055155e-12, -1.5197500964632639e-15, 1.0094793796676607e-15, 2.9825744020599857e-05, -2.0702132743603708e-06, -1.849691592333827e-08, 9.82789572938636e-10]    |   16 | (3, 4)       | 7.42054e+10 | 1.32866e+11 | 1.03536e+11 |
| [0.0, -8.181736197386497e-13, -2.429038556248874e-13, 3.055694950237002e-11, 8.574315909055155e-12, -1.5197500964632639e-15, 1.0094793796676607e-15, 2.9825744020599857e-05, -2.0702132743603708e-06, -1.849691592333827e-08, 9.82789572938636e-10]  |   17 | (4, 3)       | 7.42054e+10 | 1.32866e+11 | 1.03536e+11 |
| [0.0, -8.221715697498768e-13, -2.415350743370014e-13, 3.0751918214616e-11, 8.574315909055155e-12, -1.5197500964632639e-15, 1.0138405937821362e-15, 2.9922897693417027e-05, -2.0702132743603708e-06, -1.849691592333827e-08, 9.82789572938636e-10]    |   10 | (2, 5)       | 6.93065e+10 | 1.38692e+11 | 1.03999e+11 |
| [0.0, -8.257811909622094e-13, -2.415350743370014e-13, 3.094569629288551e-11, 8.574315909055155e-12, -1.5197500964632639e-15, 1.0138405937821362e-15, 2.9825744020599857e-05, -2.0702132743603708e-06, -1.886999047878867e-08, 9.82789572938636e-10]  |   12 | (5, 4)       | 1.53123e+11 | 1.29053e+11 | 1.41088e+11 |
