Generation: 0

| chromosome                                                                                                                                                                                                                                                 | train   | val   |     fitness |   id | parents      |
|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|---------|-------|-------------|------|--------------|
| [0.0, -8.117017949775789e-13, -2.3924957860965804e-13, 3.174579276866615e-11, -4.8659226167833456e-11, -1.6110021463031745e-15, 1.0027611381132993e-15, 2.9756959470705053e-05, -2.1485496217728127e-06, -1.8462404602296217e-08, 1.0182119995533803e-09]  |         |       | 1.27192e+11 |    0 | (None, None) |
| [0.0, -8.117017949775789e-13, -2.3716255658413137e-13, 3.16010575953813e-11, -4.8659226167833456e-11, -1.6110021463031745e-15, 1.0047103318967415e-15, 2.9756959470705053e-05, -2.1485496217728127e-06, -1.8462404602296217e-08, 1.0182119995533803e-09]   |         |       | 1.27192e+11 |    1 | (None, None) |
| [0.0, -8.117017949775789e-13, -2.3924957860965804e-13, 3.16010575953813e-11, -6.218974361073712e-11, -1.6110021463031745e-15, 1.0047103318967415e-15, 2.9756959470705053e-05, -2.1485496217728127e-06, -1.8462404602296217e-08, 1.0182119995533803e-09]    |         |       | 1.27192e+11 |    2 | (None, None) |
| [0.0, -8.117017949775789e-13, -2.3924957860965804e-13, 3.174579276866615e-11, -6.378260152914702e-11, -1.6110021463031745e-15, 1.0047103318967415e-15, 2.9756959470705053e-05, -2.1485496217728127e-06, -1.8380430474923305e-08, 1.0196222265999482e-09]   |         |       | 1.33641e+11 |    3 | (None, None) |
| [0.0, -8.117017949775789e-13, -2.3716255658413137e-13, 3.174579276866615e-11, -4.8659226167833456e-11, -1.6110021463031745e-15, 1.0047103318967415e-15, 2.9371672990089482e-05, -2.1485496217728127e-06, -1.8462404602296217e-08, 1.0182119995533803e-09]  |         |       | 1.35309e+11 |    4 | (None, None) |
| [0.0, -8.117017949775789e-13, -2.3716255658413137e-13, 3.2205526400374674e-11, -4.8659226167833456e-11, -1.7059352688987156e-15, 1.0027611381132993e-15, 2.9898633483221565e-05, -2.1485496217728127e-06, -1.9106528142640278e-08, 1.0182119995533803e-09] |         |       | 2.5388e+11  |    5 | (None, None) |
| [0.0, -8.117017949775789e-13, -2.4030781613319193e-13, 3.174579276866615e-11, -4.8659226167833456e-11, -1.6110021463031745e-15, 1.0027611381132993e-15, 2.9756959470705053e-05, -2.1485496217728127e-06, -1.7797525677177846e-08, 1.0182119995533803e-09]  |         |       | 2.55623e+11 |    6 | (None, None) |
| [0.0, -8.117017949775789e-13, -2.3716255658413137e-13, 3.174579276866615e-11, -6.378260152914702e-11, -1.6110021463031745e-15, 1.0047103318967415e-15, 2.9756959470705053e-05, -2.1485496217728127e-06, -1.935798041049342e-08, 1.0182119995533803e-09]    |         |       | 3.47322e+11 |    7 | (None, None) |
| [0.0, -8.117017949775789e-13, -2.3924957860965804e-13, 3.16010575953813e-11, -6.218974361073712e-11, -1.6110021463031745e-15, 1.0047103318967415e-15, 2.9756959470705053e-05, -2.211569919400714e-06, -1.8462404602296217e-08, 1.1074878599942534e-09]     |         |       | 2.67882e+12 |    8 | (None, None) |
