

Generation: 1

| chromosome                                                                                                                                                                                                                                             |   id | parents      |
|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------|--------------|
| [0.0, -7.619127048053891e-13, -2.5120334204275116e-13, 3.3548402866077487e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0003920104561844e-15, 2.96252824836485e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |    0 | (None, None) |
| [0.0, -7.541574644195168e-13, -2.5185351391534287e-13, 3.3408968954084364e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0003920104561844e-15, 2.96252824836485e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |    1 | (None, None) |
| [0.0, -7.678628851593763e-13, -2.5120334204275116e-13, 3.3548402866077487e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0003920104561844e-15, 2.9582966279828872e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |   10 | (5, 0)       |
| [0.0, -7.602982060789769e-13, -2.5185351391534287e-13, 3.3408968954084364e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0003920104561844e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |   11 | (4, 4)       |
| [0.0, -7.602982060789769e-13, -2.5185351391534287e-13, 3.3408968954084364e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0003920104561844e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |   12 | (4, 4)       |
| [0.0, -7.619127048053891e-13, -2.5120334204275116e-13, 3.3985888231306985e-11, 1.0821316019511363e-10, -1.4572017038094365e-15, 1.0003920104561844e-15, 2.96252824836485e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |   13 | (2, 0)       |
| [0.0, -7.619127048053891e-13, -2.6168058622556336e-13, 3.3548402866077487e-11, 1.0821316019511363e-10, -1.3969463929660273e-15, 1.0003920104561844e-15, 2.96252824836485e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |   14 | (3, 0)       |
| [0.0, -7.678628851593763e-13, -2.5185351391534287e-13, 3.3408968954084364e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0038681854901483e-15, 2.9582966279828872e-05, -2.0335759567981476e-06, -1.95108132472524e-08, 9.827671833722739e-10] |   15 | (5, 5)       |
| [0.0, -7.619127048053891e-13, -2.6168058622556336e-13, 3.3985888231306985e-11, 1.0821316019511363e-10, -1.4572017038094365e-15, 1.0003920104561844e-15, 2.96252824836485e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |   16 | (2, 3)       |
| [0.0, -7.678628851593763e-13, -2.5185351391534287e-13, 3.3408968954084364e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0003920104561844e-15, 2.9582966279828872e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |   17 | (5, 2)       |

Generation: 2

| chromosome                                                                                                                                                                                                                                             |   id | parents   |
|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------|-----------|
| [0.0, -7.602982060789769e-13, -2.5185351391534287e-13, 3.3408968954084364e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0003920104561844e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |   12 | (4, 4)    |
| [0.0, -7.678628851593763e-13, -2.4313170662065044e-13, 3.3548402866077487e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0003920104561844e-15, 2.9582966279828872e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |   10 | (5, 0)    |
| [0.0, -7.541574644195168e-13, -2.5185351391534287e-13, 3.3408968954084364e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0003920104561844e-15, 2.96252824836485e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |   18 | (1, 1)    |
| [0.0, -7.619127048053891e-13, -2.5120334204275116e-13, 3.3548402866077487e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.010095607559168e-15, 2.96252824836485e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]    |   19 | (0, 15)   |
| [0.0, -7.602982060789769e-13, -2.5185351391534287e-13, 3.3408968954084364e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0003920104561844e-15, 2.96252824836485e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |   20 | (12, 1)   |
| [0.0, -7.619127048053891e-13, -2.6168058622556336e-13, 3.3985888231306985e-11, 1.0821316019511363e-10, -1.4572017038094365e-15, 1.0003920104561844e-15, 2.96252824836485e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |   21 | (16, 16)  |
| [0.0, -7.619127048053891e-13, -2.5185351391534287e-13, 3.3408968954084364e-11, 1.0821316019511363e-10, -1.4572017038094365e-15, 1.0003920104561844e-15, 2.96252824836485e-05, -2.0335759567981476e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |   22 | (16, 15)  |
| [0.0, -7.602982060789769e-13, -2.5185351391534287e-13, 3.3408968954084364e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0003920104561844e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |   23 | (12, 12)  |
| [0.0, -7.619127048053891e-13, -2.6168058622556336e-13, 3.3985888231306985e-11, 1.0821316019511363e-10, -1.4572017038094365e-15, 1.0003920104561844e-15, 2.96252824836485e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |   24 | (16, 16)  |
| [0.0, -7.678628851593763e-13, -2.5120334204275116e-13, 3.3548402866077487e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0003920104561844e-15, 2.96252824836485e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |   25 | (10, 0)   |

Generation: 3

| chromosome                                                                                                                                                                                                                                             |   id | parents   |
|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------|-----------|
| [0.0, -7.602982060789769e-13, -2.5185351391534287e-13, 3.3408968954084364e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0003920104561844e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |   12 | (4, 4)    |
| [0.0, -7.602982060789769e-13, -2.5185351391534287e-13, 3.3408968954084364e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0003920104561844e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |   23 | (12, 12)  |
| [0.0, -7.619127048053891e-13, -2.5185351391534287e-13, 3.3985888231306985e-11, 1.0821316019511363e-10, -1.4572017038094365e-15, 1.0003920104561844e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |   26 | (12, 24)  |
| [0.0, -7.619127048053891e-13, -2.5120334204275116e-13, 3.3548402866077487e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0003920104561844e-15, 2.96252824836485e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |   27 | (25, 24)  |
| [0.0, -7.602982060789769e-13, -2.5185351391534287e-13, 3.3985888231306985e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0003920104561844e-15, 2.96252824836485e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |   28 | (12, 24)  |
| [0.0, -7.619127048053891e-13, -2.6168058622556336e-13, 3.3548402866077487e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0003920104561844e-15, 2.96252824836485e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |   29 | (24, 25)  |
| [0.0, -7.678628851593763e-13, -2.5120334204275116e-13, 3.3548402866077487e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0003920104561844e-15, 2.96252824836485e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |   30 | (19, 25)  |
| [0.0, -7.619127048053891e-13, -2.6168058622556336e-13, 3.3985888231306985e-11, 1.0821316019511363e-10, -1.4572017038094365e-15, 1.0003920104561844e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |   31 | (24, 12)  |
| [0.0, -7.619127048053891e-13, -2.4313170662065044e-13, 3.3548402866077487e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0003920104561844e-15, 2.9582966279828872e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |   32 | (24, 10)  |
| [0.0, -7.619127048053891e-13, -2.5120334204275116e-13, 3.3548402866077487e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.010095607559168e-15, 2.96252824836485e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.825585823029691e-10]    |   33 | (19, 19)  |

Generation: 4

| chromosome                                                                                                                                                                                                                                             |   id | parents   |
|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------|-----------|
