

Generation: 0

| chromosome                                                                                                                                                                                                                                            | train   | val   |     fitness |   id | parents      |
|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|---------|-------|-------------|------|--------------|
| [0.0, -7.86404778869737e-13, -2.5617377803566906e-13, 3.2437837158473186e-11, 5.4555305825667286e-11, -1.5496814888197526e-15, 1.0064894887734911e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10]  |         |       | 9.0071e+10  |    0 | (None, None) |
| [0.0, -7.791998015351418e-13, -2.5617377803566906e-13, 3.2437837158473186e-11, 5.4555305825667286e-11, -1.5496814888197526e-15, 1.00035661815149e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10]   |         |       | 9.0071e+10  |    1 | (None, None) |
| [0.0, -7.814670062568501e-13, -2.5617377803566906e-13, 3.240313820657028e-11, 5.4555305825667286e-11, -1.5496814888197526e-15, 1.0064894887734911e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10]  |         |       | 9.0071e+10  |    2 | (None, None) |
| [0.0, -7.90819644766571e-13, -2.377716043988024e-13, 3.240313820657028e-11, 5.4555305825667286e-11, -1.5496814888197526e-15, 1.0064894887734911e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10]    |         |       | 9.0071e+10  |    3 | (None, None) |
| [0.0, -7.814670062568501e-13, -2.3046643541021077e-13, 3.2437837158473186e-11, 5.4555305825667286e-11, -1.6193609124250272e-15, 1.0094179235156574e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10] |         |       | 9.07805e+10 |    4 | (None, None) |
| [0.0, -7.791998015351418e-13, -2.4954210559120544e-13, 3.2437837158473186e-11, 5.4555305825667286e-11, -1.6193609124250272e-15, 1.0017774672483334e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10] |         |       | 9.07805e+10 |    5 | (None, None) |
| [0.0, -7.90819644766571e-13, -2.4954210559120544e-13, 3.3319027831119176e-11, 5.825959290445783e-11, -1.624231453049291e-15, 1.0064894887734911e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10]    |         |       | 9.09644e+10 |    6 | (None, None) |
| [0.0, -7.791998015351418e-13, -2.377716043988024e-13, 3.2437837158473186e-11, 5.4555305825667286e-11, -1.624231453049291e-15, 1.0064894887734911e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10]   |         |       | 9.09644e+10 |    7 | (None, None) |
| [0.0, -7.80063637405399e-13, -2.377716043988024e-13, 3.2437837158473186e-11, 5.4555305825667286e-11, -1.624231453049291e-15, 1.0064894887734911e-15, 2.992238523262888e-05, -2.0202088064864084e-06, -1.945596727696083e-08, 9.82789572938636e-10]    |         |       | 9.09644e+10 |    8 | (None, None) |
