

Generation: 0

| chromosome                                                                                                                                                                                                                                               | train   | val   |     fitness |   id | parents      |
|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|---------|-------|-------------|------|--------------|
| [0.0, -7.881938865396971e-13, -2.263633918000225e-13, 2.952439272104154e-11, -1.1092505134172915e-10, -1.5223629717419581e-15, 9.825173493719075e-16, 3.0299900425141738e-05, -2.1485496217728127e-06, -1.847010576944937e-08, 1.0114536553207675e-09]   |         |       | 1.3194e+11  |    0 | (None, None) |
| [0.0, -7.981225844542734e-13, -2.263633918000225e-13, 2.952439272104154e-11, -1.1092505134172915e-10, -1.5223629717419581e-15, 9.825173493719075e-16, 3.0299900425141738e-05, -2.1485496217728127e-06, -1.847010576944937e-08, 1.0114536553207675e-09]   |         |       | 1.3194e+11  |    1 | (None, None) |
| [0.0, -7.881938865396971e-13, -2.263633918000225e-13, 2.952439272104154e-11, -1.1092505134172915e-10, -1.5223629717419581e-15, 9.825173493719075e-16, 3.0299900425141738e-05, -2.1485496217728127e-06, -1.847010576944937e-08, 1.0114536553207675e-09]   |         |       | 1.3194e+11  |    2 | (None, None) |
| [0.0, -7.981225844542734e-13, -2.2795086667069235e-13, 2.884624674299951e-11, -1.1092505134172915e-10, -1.5223629717419581e-15, 9.898761157166797e-16, 3.0299900425141738e-05, -2.1485496217728127e-06, -1.847010576944937e-08, 1.0114536553207675e-09]  |         |       | 1.3194e+11  |    3 | (None, None) |
| [0.0, -8.082744003920918e-13, -2.3122247137822454e-13, 2.9181493833882984e-11, -1.1357833946519518e-10, -1.5223629717419581e-15, 9.92290813387891e-16, 3.0299900425141738e-05, -2.1485496217728127e-06, -1.847010576944937e-08, 1.0114536553207675e-09]  |         |       | 1.3194e+11  |    4 | (None, None) |
| [0.0, -8.0145179052405e-13, -2.263633918000225e-13, 2.9181493833882984e-11, -1.1092505134172915e-10, -1.4671650014331785e-15, 9.898761157166797e-16, 3.0299900425141738e-05, -2.1485496217728127e-06, -1.847010576944937e-08, 1.0114536553207675e-09]    |         |       | 1.3392e+11  |    5 | (None, None) |
| [0.0, -7.806455478712443e-13, -2.263633918000225e-13, 2.9181493833882984e-11, -1.1092505134172915e-10, -1.4484781205337009e-15, 9.898761157166797e-16, 3.0299900425141738e-05, -2.1485496217728127e-06, -1.847010576944937e-08, 1.0114536553207675e-09]  |         |       | 1.35102e+11 |    6 | (None, None) |
| [0.0, -7.981225844542734e-13, -2.3173474678497557e-13, 2.9181493833882984e-11, -1.0984049423654564e-10, -1.4301024028777209e-15, 9.849174269875196e-16, 3.0299900425141738e-05, -2.1485496217728127e-06, -1.847010576944937e-08, 1.0114536553207675e-09] |         |       | 1.36516e+11 |    7 | (None, None) |
| [0.0, -8.048688254507455e-13, -2.2795086667069235e-13, 2.884624674299951e-11, -1.1357833946519518e-10, -1.5223629717419581e-15, 9.898761157166797e-16, 3.12422904907726e-05, -2.1485496217728127e-06, -1.847010576944937e-08, 1.0114536553207675e-09]    |         |       | 1.82427e+11 |    8 | (None, None) |
